Type kjøretøy,Merke,Modell,Årsmodell,Feiltype,Symptomkategori,Symptom (valg),Kommentar,Løsning,Symptomdetalj (manuell),Feilkode,Generell feil,Mitt kjøretøy,Ytterligere symptomdetaljer,Link til kilde
Traktor,Claas,Arion,,Elektroniske styresystemer,Varsellampe / feilkode,,"Begrensning av Power
  Management pga. for høyt kraftuttak bak","Sjekk: Unormal bruk av PTO,
  status på PTO-linje, tilkoblet redskap.","Power Management begrenser
  ekstra effekt",Id765Bh,,,,https://d1hu4133i4rt3z.cloudfront.net/attachments/827/827261-cc1405d22d844e86e0720e07fdf480bf.pdf
Traktor,Claas,Arion,,Elektroniske styresystemer,Varsellampe / feilkode,,"Begrensning av Power
  Management pga. for høy kjølevæsketemp.","Sjekk: Kjølekrets,
  kjølevæsketempsensor (B045).","Power Management begrenser
  ekstra effekt",Id765Ch,,,,https://d1hu4133i4rt3z.cloudfront.net/attachments/827/827261-cc1405d22d844e86e0720e07fdf480bf.pdf
Traktor,Claas,Arion,,Elektroniske styresystemer,Varsellampe / feilkode,,"Power Management feil pga.
  tapt turtallsignal fra sensor","Sjekk: Justering av
  turtallsensorer (B228-1, B228-2), ""Auto 5""-modul.","Power Management kun
  tilgjengelig i C og D",Id765Dh,,,,https://d1hu4133i4rt3z.cloudfront.net/attachments/827/827261-cc1405d22d844e86e0720e07fdf480bf.pdf
Traktor,Claas,Arion,,Elektroniske styresystemer,Varsellampe / feilkode,,"Power Management feil pga.
  tapt turtallsignal på CAN","Sjekk: Motormodul (A15),
  CAN-nettverk, ""Auto 5""-modul.",Laveste effektkurve valgt,Id765Eh,,,,https://d1hu4133i4rt3z.cloudfront.net/attachments/827/827261-cc1405d22d844e86e0720e07fdf480bf.pdf
Traktor,Claas,Arion,,Elektroniske styresystemer,Varsellampe / feilkode,,"Åpen krets på sensor for
  utkoblet automatisk håndbrekk","Sjekk: Mulig brudd i
  ledningsnett til sensor (Z158), sensor (Z158), ""Auto 5""-modul.","Automatisk håndbrekk
  inaktiv",Id768Fh,,,,https://d1hu4133i4rt3z.cloudfront.net/attachments/827/827261-cc1405d22d844e86e0720e07fdf480bf.pdf
Traktor,Claas,Arion,,Elektroniske styresystemer,Varsellampe / feilkode,,"Sensor for utkoblet
  håndbrekk låst i aktiv posisjon","Sjekk: Mulig brudd i
  ledningsnett til sensor (Z158), mekanisk feil, ""Auto 5""-modul.","Automatisk håndbrekk
  inaktiv",Id7690h,,,,https://d1hu4133i4rt3z.cloudfront.net/attachments/827/827261-cc1405d22d844e86e0720e07fdf480bf.pdf
Traktor,Claas,Arion,,Elektroniske styresystemer,Varsellampe / feilkode,,"Åpen krets på magnetventil
  for utkobling av håndbrekk","Sjekk: Mulig brudd i
  ledningsnett til magnetventil (Y324), motstand i spole, ""Auto
  5""-modul.",Kan ikke koble ut håndbrekk,Id7691h,,,,https://d1hu4133i4rt3z.cloudfront.net/attachments/827/827261-cc1405d22d844e86e0720e07fdf480bf.pdf
Traktor,Claas,Arion,,Elektroniske styresystemer,Varsellampe / feilkode,,"Kortslutning til jord på
  magnetventil for utkobling av håndbrekk","Sjekk: Mulig
  brudd/kortslutning i ledningsnett til magnetventil (Y324), ""Auto
  5""-modul.",Kan ikke koble ut håndbrekk,Id7692h,,,,https://d1hu4133i4rt3z.cloudfront.net/attachments/827/827261-cc1405d22d844e86e0720e07fdf480bf.pdf
Traktor,Claas,Arion,,Elektroniske styresystemer,Varsellampe / feilkode,,"Info om utkoblingskontakt
  for håndbrekk i aktiv posisjon","Sjekk: Mulig kortslutning i
  ledningsnett til kontakt (S196), knapp (S196), ""Auto 5""-modul.",Kontakt inaktiv,Id7693h,,,,https://d1hu4133i4rt3z.cloudfront.net/attachments/827/827261-cc1405d22d844e86e0720e07fdf480bf.pdf
Traktor,Claas,Arion,,Elektroniske styresystemer,Varsellampe / feilkode,,"Kortslutning til jord på
  magnetventil for innkobling av håndbrekk","Sjekk: Mulig
  brudd/kortslutning i ledningsnett til magnetventil (Y323), ""Auto
  5""-modul.","Kan ikke koble inn
  håndbrekk",Id7694h,,,,https://d1hu4133i4rt3z.cloudfront.net/attachments/827/827261-cc1405d22d844e86e0720e07fdf480bf.pdf
Traktor,Claas,Arion,,Elektroniske styresystemer,Varsellampe / feilkode,,"Åpen krets på magnetventil
  for innkobling av håndbrekk","Sjekk: Mulig brudd i
  ledningsnett til magnetventil (Y323), motstand i spole, ""Auto
  5""-modul.","Kan ikke koble inn
  håndbrekk",Id7695h,,,,https://d1hu4133i4rt3z.cloudfront.net/attachments/827/827261-cc1405d22d844e86e0720e07fdf480bf.pdf
Traktor,Claas,Arion,,Elektroniske styresystemer,Varsellampe / feilkode,,"Kortslutning til 12V på
  magnetventil for utkobling av håndbrekk","Sjekk: Mulig 12V
  kortslutning på ledningsnett til magnetventil (Y324), ""Auto
  5""-modul.","Kan ikke koble inn
  håndbrekk",Id7696h,,,,https://d1hu4133i4rt3z.cloudfront.net/attachments/827/827261-cc1405d22d844e86e0720e07fdf480bf.pdf
Traktor,Claas,Arion,,Elektroniske styresystemer,Varsellampe / feilkode,,"Kortslutning til 12V på
  magnetventil for innkobling av håndbrekk","Sjekk: Mulig 12V
  kortslutning på ledningsnett til magnetventil (Y323), ""Auto
  5""-modul.",Normal drift,Id7697h,,,,https://d1hu4133i4rt3z.cloudfront.net/attachments/827/827261-cc1405d22d844e86e0720e07fdf480bf.pdf
Traktor,Claas,Arion,,Elektroniske styresystemer,Varsellampe / feilkode,,"Slitasjesensor for
  håndbrekk aktivert","Sjekk: Slitasje, mulig
  kortslutning på sensorledning (Z157), sensor (Z157), ""Auto
  5""-modul.",Slitasje på håndbrekk,Id7698h,,,,https://d1hu4133i4rt3z.cloudfront.net/attachments/827/827261-cc1405d22d844e86e0720e07fdf480bf.pdf
Traktor,Claas,Arion,,Elektroniske styresystemer,Varsellampe / feilkode,,"Slitasjesensor for
  håndbrekk låst i aktiv modus","Sjekk: Mulig kortslutning
  på sensorledning (Z157), sensor (Z157), ""Auto 5""-modul.","Slitasjeinformasjon ikke
  tilgjengelig",Id7699h,,,,https://d1hu4133i4rt3z.cloudfront.net/attachments/827/827261-cc1405d22d844e86e0720e07fdf480bf.pdf
Traktor,Claas,Arion,,Elektroniske styresystemer,Varsellampe / feilkode,,"Kortslutning til jord på
  overføringsproportionalventil (ventil 3)","Sjekk: Overføringsventil 3
  (Y331)","Fjæringssystem låst i
  nåværende posisjon",Id76E6h,,,,https://d1hu4133i4rt3z.cloudfront.net/attachments/827/827261-cc1405d22d844e86e0720e07fdf480bf.pdf
Traktor,Claas,Arion,,Elektroniske styresystemer,Varsellampe / feilkode,,"Kortslutning til jord på
  akkumulatorproportionalventil (ventil 4)","Sjekk: Akkumulatorventil 4
  (Y332)","Fjæringssystem låst i
  nåværende posisjon",Id76E7h,,,,https://d1hu4133i4rt3z.cloudfront.net/attachments/827/827261-cc1405d22d844e86e0720e07fdf480bf.pdf
Traktor,Claas,Arion,,Elektroniske styresystemer,Varsellampe / feilkode,,"Åpen krets/kortslutning til
  jord på høyre fjæringsposisjonssensor","Sjekk: Høyre fjæringssensor
  (B234-1)","Fjæringssystem låst i
  nåværende posisjon",Id76E8h,,,,https://d1hu4133i4rt3z.cloudfront.net/attachments/827/827261-cc1405d22d844e86e0720e07fdf480bf.pdf
Traktor,Claas,Arion,,Elektroniske styresystemer,Varsellampe / feilkode,,"Kortslutning på
  strømtilførsel til høyre fjæringsposisjonssensor","Sjekk: Høyre fjæringssensor
  (B234-1)","Fjæringssystem låst i
  nåværende posisjon",Id76E9h,,,,https://d1hu4133i4rt3z.cloudfront.net/attachments/827/827261-cc1405d22d844e86e0720e07fdf480bf.pdf
Traktor,Claas,Arion,,Elektroniske styresystemer,Varsellampe / feilkode,,"Åpen krets/kortslutning til
  jord på venstre fjæringsposisjonssensor","Sjekk: Venstre
  fjæringssensor (B220/B234-2)","Fjæringssystem låst i
  nåværende posisjon",Id76EAh,,,,https://d1hu4133i4rt3z.cloudfront.net/attachments/827/827261-cc1405d22d844e86e0720e07fdf480bf.pdf
Traktor,Claas,Arion,,Elektroniske styresystemer,Varsellampe / feilkode,,"Kortslutning på
  strømtilførsel til venstre fjæringsposisjonssensor","Sjekk: Venstre
  fjæringssensor (B220/B234-2)","Fjæringssystem låst i
  nåværende posisjon",Id76ECh,,,,https://d1hu4133i4rt3z.cloudfront.net/attachments/827/827261-cc1405d22d844e86e0720e07fdf480bf.pdf
Traktor,Claas,Arion,,Elektroniske styresystemer,Varsellampe / feilkode,,"For lav forsyningsspenning
  (<10,5V)","Sjekk: Strømkilde (G001),
  SFA (A102) modul","Fjæringssystem låst i
  nåværende posisjon",Id76EDh,,,,https://d1hu4133i4rt3z.cloudfront.net/attachments/827/827261-cc1405d22d844e86e0720e07fdf480bf.pdf
Traktor,Claas,Arion,,Elektroniske styresystemer,Varsellampe / feilkode,,"Ingen melding fra
  SFA-modul, selv om konfigurert","Sjekk: Powertrain CAN, SFA
  (A102), BDG (A103)","Forakselfjæring låst i
  nåværende posisjon",Id76F1h,,,,https://d1hu4133i4rt3z.cloudfront.net/attachments/827/827261-cc1405d22d844e86e0720e07fdf480bf.pdf
Traktor,Claas,Arion,,Elektroniske styresystemer,Varsellampe / feilkode,,"Ingen melding fra
  HYD-modul, selv om konfigurert","Sjekk: CAN-nettverk, HYD
  (A60), BDG (A103)","HYD (A60) og tilhørende
  funksjoner inaktive",Id76F2h,,,,https://d1hu4133i4rt3z.cloudfront.net/attachments/827/827261-cc1405d22d844e86e0720e07fdf480bf.pdf
Traktor,Claas,Arion,,Elektroniske styresystemer,Varsellampe / feilkode,,"Ingen melding fra
  EXT-modul, selv om konfigurert","Sjekk: CAN-nettverk, EXT
  (A62), BDG (A103)","EXT (A62) og tilhørende
  funksjoner inaktive",Id76F3h,,,,https://d1hu4133i4rt3z.cloudfront.net/attachments/827/827261-cc1405d22d844e86e0720e07fdf480bf.pdf
Traktor,Claas,Arion,,Elektroniske styresystemer,Varsellampe / feilkode,,"Ingen melding fra Z+-modul,
  selv om konfigurert","Sjekk: CAN-nettverk, Z+,
  BDG (A103)","Z+ og tilhørende funksjoner
  inaktive",Id76F4h,,,,https://d1hu4133i4rt3z.cloudfront.net/attachments/827/827261-cc1405d22d844e86e0720e07fdf480bf.pdf
Traktor,Claas,Arion,,Elektroniske styresystemer,Varsellampe / feilkode,,"Ingen melding fra
  CVT-modul, selv om konfigurert","Sjekk: CAN-nettverk, CVT,
  BDG (A103)","CVT-modul og tilhørende
  funksjoner inaktive",Id76F5h,,,,https://d1hu4133i4rt3z.cloudfront.net/attachments/827/827261-cc1405d22d844e86e0720e07fdf480bf.pdf
Traktor,Claas,Arion,,Elektroniske styresystemer,Varsellampe / feilkode,,"Ingen melding fra
  MFT-modul, selv om konfigurert","Sjekk: CAN-nettverk, MFT
  (A30), BDG (A103)","Cebis-terminal (MFT A30) og
  funksjoner kan være inaktive",Id76F6h,,,,https://d1hu4133i4rt3z.cloudfront.net/attachments/827/827261-cc1405d22d844e86e0720e07fdf480bf.pdf
Traktor,Claas,Arion,,Elektroniske styresystemer,Varsellampe / feilkode,,"Ingen melding fra WLP-modul
  på 5 sekunder","Sjekk: CAN-nettverk, WLP
  (A104), BDG (A103)","WLP (A104) og funksjoner
  kan være inaktive",Id76F7h,,,,https://d1hu4133i4rt3z.cloudfront.net/attachments/827/827261-cc1405d22d844e86e0720e07fdf480bf.pdf
Traktor,Claas,Arion,,Elektroniske styresystemer,Varsellampe / feilkode,,"Ingen melding fra MFA-modul
  på 5 sekunder","Sjekk: CAN-nettverk, MFA
  (A100), BDG (A103)","MFA (A100) og funksjoner
  kan være inaktive",Id76F8h,,,,https://d1hu4133i4rt3z.cloudfront.net/attachments/827/827261-cc1405d22d844e86e0720e07fdf480bf.pdf
Traktor,Claas,Arion,,Elektroniske styresystemer,Varsellampe / feilkode,,"Ingen melding fra DBD-modul
  på 5 sekunder","Sjekk: CAN-nettverk, DBD
  (A101), BDG (A103)","DBD (A101) og funksjoner
  kan være tapt",Id76F9h,,,,https://d1hu4133i4rt3z.cloudfront.net/attachments/827/827261-cc1405d22d844e86e0720e07fdf480bf.pdf
Traktor,Claas,Arion,,Elektroniske styresystemer,Varsellampe / feilkode,,"Ingen melding fra ENG-modul
  på 5 sekunder","Sjekk: Powertrain CAN, ENG
  (A15), BDG (A103)","ENG (A15) og funksjoner kan
  være tapt",Id76FAh,,,,https://d1hu4133i4rt3z.cloudfront.net/attachments/827/827261-cc1405d22d844e86e0720e07fdf480bf.pdf
Traktor,Claas,Arion,,Elektroniske styresystemer,Varsellampe / feilkode,,"Ingen melding fra TR1-modul
  på 5 sekunder","Sjekk: Powertrain CAN, TR1
  (A57-1), BDG (A103)","TR1 (A57-1) og funksjoner
  kan være tapt",Id76FBh,,,,https://d1hu4133i4rt3z.cloudfront.net/attachments/827/827261-cc1405d22d844e86e0720e07fdf480bf.pdf
Traktor,Claas,Arion,,Elektroniske styresystemer,Varsellampe / feilkode,,"Ingen melding fra TR2-modul
  på 5 sekunder","Sjekk: Powertrain CAN, TR2
  (A57-2), BDG (A103)","TR2 (A57-2) og funksjoner
  kan være tapt",Id76FCh,,,,https://d1hu4133i4rt3z.cloudfront.net/attachments/827/827261-cc1405d22d844e86e0720e07fdf480bf.pdf
Traktor,Claas,Arion,,Elektroniske styresystemer,Varsellampe / feilkode,,"Ingen melding fra TR3-modul
  på 5 sekunder","Sjekk: Powertrain CAN, TR3
  (A57-3), BDG (A103)","TR3 (A57-3) og funksjoner
  kan være tapt",Id76FDh,,,,https://d1hu4133i4rt3z.cloudfront.net/attachments/827/827261-cc1405d22d844e86e0720e07fdf480bf.pdf
Traktor,Claas,Arion,,Elektroniske styresystemer,Varsellampe / feilkode,,"Ingen melding fra REH-modul
  på 5 sekunder","Sjekk: Powertrain CAN, REH
  (A58), BDG (A103)","REH (A58) og funksjoner kan
  være tapt",Id76FEh,,,,https://d1hu4133i4rt3z.cloudfront.net/attachments/827/827261-cc1405d22d844e86e0720e07fdf480bf.pdf
Traktor,Claas,Arion,,Elektroniske styresystemer,Varsellampe / feilkode,,"Kortslutning til 12V på
  CLAAS CAN-bus",Sjekk: CLAAS CAN-bus,,Id76FFh,,,,https://d1hu4133i4rt3z.cloudfront.net/attachments/827/827261-cc1405d22d844e86e0720e07fdf480bf.pdf
Traktor,Claas,Arion,,Elektroniske styresystemer,Varsellampe / feilkode,,"Kortslutning til jord på
  CLAAS CAN-bus","Sjekk: CLAAS CAN-bus, BDG
  (A103)",,Id7700h,,,,https://d1hu4133i4rt3z.cloudfront.net/attachments/827/827261-cc1405d22d844e86e0720e07fdf480bf.pdf
Traktor,Claas,Arion,,Elektroniske styresystemer,Varsellampe / feilkode,,"BDG-modul sender ikke
  meldinger pga. for mange CAN-feil","Sjekk: CLAAS CAN-bus, BDG
  (A103)",,Id7701h,,,,https://d1hu4133i4rt3z.cloudfront.net/attachments/827/827261-cc1405d22d844e86e0720e07fdf480bf.pdf
Traktor,Claas,Arion,,Elektroniske styresystemer,Varsellampe / feilkode,,Kortslutning på elektronisk injektor sylinder 2,"Sjekk: ENG (A15), injektor Y320-2","Motoren går dårlig, tenning på injektor
  2 virker ikke",Id7757h,,,,https://d1hu4133i4rt3z.cloudfront.net/attachments/827/827261-cc1405d22d844e86e0720e07fdf480bf.pdf
Traktor,Claas,Arion,,Elektroniske styresystemer,Varsellampe / feilkode,,"Mekanisk feil på elektronisk injektor
  sylinder 2","Sjekk: forsyningsrør, restriktor,
  injektor Y320-2, ENG (A15)","Motoren går dårlig, tenning
  på injektor 2 virker ikke",Id7758h,,,,https://d1hu4133i4rt3z.cloudfront.net/attachments/827/827261-cc1405d22d844e86e0720e07fdf480bf.pdf
Traktor,Claas,Arion,,Elektroniske styresystemer,Varsellampe / feilkode,,"QR-kode ugyldig for elektronisk
  injektor sylinder 2","Sjekk: ENG (A15), injektor Y320-2","Motoren kan gå dårlig pga.
  feil kalibrering",Id7759h,,,,https://d1hu4133i4rt3z.cloudfront.net/attachments/827/827261-cc1405d22d844e86e0720e07fdf480bf.pdf
Traktor,Claas,Arion,,Elektroniske styresystemer,Varsellampe / feilkode,,"Referanse for injektor sylinder 3
  ugyldig","Sjekk: ENG (A15), injektor Y320-3","Motoren kan gå dårlig pga.
  feil kalibrering",Id775Ah,,,,https://d1hu4133i4rt3z.cloudfront.net/attachments/827/827261-cc1405d22d844e86e0720e07fdf480bf.pdf
Traktor,Claas,Arion,,Elektroniske styresystemer,Varsellampe / feilkode,,"Åpen krets på elektronisk injektor
  sylinder 3","Sjekk: ENG (A15), injektor Y320-3","Motoren går dårlig, tenning
  på injektor 3 virker ikke",Id775Bh,,,,https://d1hu4133i4rt3z.cloudfront.net/attachments/827/827261-cc1405d22d844e86e0720e07fdf480bf.pdf
Traktor,Claas,Arion,,Elektroniske styresystemer,Varsellampe / feilkode,,"Kortslutning på elektronisk injektor
  sylinder 3","Sjekk: ENG (A15), injektor Y320-3","Motoren går dårlig, tenning
  på injektor 3 virker ikke",Id775Ch,,,,https://d1hu4133i4rt3z.cloudfront.net/attachments/827/827261-cc1405d22d844e86e0720e07fdf480bf.pdf
Traktor,Claas,Arion,,Elektroniske styresystemer,Varsellampe / feilkode,,"Mekanisk feil på elektronisk injektor
  sylinder 3","Sjekk: forsyningsrør, restriktor,
  injektor Y320-3, ENG (A15)","Motoren går dårlig, tenning
  på injektor 3 virker ikke",Id775Dh,,,,https://d1hu4133i4rt3z.cloudfront.net/attachments/827/827261-cc1405d22d844e86e0720e07fdf480bf.pdf
Traktor,Claas,Arion,,Elektroniske styresystemer,Varsellampe / feilkode,,"QR-kode ugyldig for elektronisk
  injektor sylinder 3","Sjekk: ENG (A15), injektor Y320-3","Motoren kan gå dårlig pga.
  feil kalibrering",Id775Eh,,,,https://d1hu4133i4rt3z.cloudfront.net/attachments/827/827261-cc1405d22d844e86e0720e07fdf480bf.pdf
Traktor,Claas,Arion,,Elektroniske styresystemer,Varsellampe / feilkode,,"Referanse for injektor sylinder 4
  ugyldig","Sjekk: ENG (A15), injektor Y320-4","Motoren kan gå dårlig pga.
  feil kalibrering",Id775Fh,,,,https://d1hu4133i4rt3z.cloudfront.net/attachments/827/827261-cc1405d22d844e86e0720e07fdf480bf.pdf
Traktor,Claas,Arion,,Elektroniske styresystemer,Varsellampe / feilkode,,"Åpen krets på elektronisk injektor
  sylinder 4","Sjekk: ENG (A15), injektor Y320-4","Motoren går dårlig, tenning
  på injektor 4 virker ikke",Id7760h,,,,https://d1hu4133i4rt3z.cloudfront.net/attachments/827/827261-cc1405d22d844e86e0720e07fdf480bf.pdf
Traktor,Claas,Arion,,Elektroniske styresystemer,Varsellampe / feilkode,,"Kortslutning på elektronisk injektor
  sylinder 4","Sjekk: ENG (A15), injektor Y320-4","Motoren går dårlig, tenning
  på injektor 4 virker ikke",Id7761h,,,,https://d1hu4133i4rt3z.cloudfront.net/attachments/827/827261-cc1405d22d844e86e0720e07fdf480bf.pdf
Traktor,Claas,Arion,,Elektroniske styresystemer,Varsellampe / feilkode,,"Mekanisk feil på elektronisk injektor
  sylinder 4","Sjekk: forsyningsrør, restriktor,
  injektor Y320-4, ENG (A15)","Motoren går dårlig, tenning
  på injektor 4 virker ikke",Id7762h,,,,https://d1hu4133i4rt3z.cloudfront.net/attachments/827/827261-cc1405d22d844e86e0720e07fdf480bf.pdf
Traktor,Claas,Arion,,Elektroniske styresystemer,Varsellampe / feilkode,,"QR-kode ugyldig for elektronisk
  injektor sylinder 4","Sjekk: ENG (A15), injektor Y320-4","Motoren kan gå dårlig pga.
  feil kalibrering",Id7763h,,,,https://d1hu4133i4rt3z.cloudfront.net/attachments/827/827261-cc1405d22d844e86e0720e07fdf480bf.pdf
Traktor,Claas,Arion,,Elektroniske styresystemer,Varsellampe / feilkode,,"Referanse for injektor sylinder 5
  ugyldig","Sjekk: ENG (A15), injektor Y320-5","Motoren kan gå dårlig pga.
  feil kalibrering",Id7764h,,,,https://d1hu4133i4rt3z.cloudfront.net/attachments/827/827261-cc1405d22d844e86e0720e07fdf480bf.pdf
Traktor,Claas,Arion,,Elektroniske styresystemer,Varsellampe / feilkode,,"Åpen krets på elektronisk injektor
  sylinder 5","Sjekk: ENG (A15), injektor Y320-5","Motoren går dårlig, tenning
  på injektor 5 virker ikke",Id7765h,,,,https://d1hu4133i4rt3z.cloudfront.net/attachments/827/827261-cc1405d22d844e86e0720e07fdf480bf.pdf
Traktor,Claas,Arion,,Elektroniske styresystemer,Varsellampe / feilkode,,"Kortslutning på elektronisk injektor
  sylinder 5","Sjekk: ENG (A15), injektor Y320-5","Motoren går dårlig, tenning
  på injektor 5 virker ikke",Id7766h,,,,https://d1hu4133i4rt3z.cloudfront.net/attachments/827/827261-cc1405d22d844e86e0720e07fdf480bf.pdf
Traktor,Claas,Arion,,Elektroniske styresystemer,Varsellampe / feilkode,,"Mekanisk feil på elektronisk injektor
  sylinder 5","Sjekk: forsyningsrør, restriktor,
  injektor Y320-5, ENG (A15)","Motoren går dårlig, tenning
  på injektor 5 virker ikke",Id7767h,,,,https://d1hu4133i4rt3z.cloudfront.net/attachments/827/827261-cc1405d22d844e86e0720e07fdf480bf.pdf
Traktor,Claas,Arion,,Elektroniske styresystemer,Varsellampe / feilkode,,"QR-kode ugyldig for elektronisk
  injektor sylinder 5","Sjekk: ENG (A15), injektor Y320-5","Motoren kan gå dårlig pga.
  feil kalibrering",Id7768h,,,,https://d1hu4133i4rt3z.cloudfront.net/attachments/827/827261-cc1405d22d844e86e0720e07fdf480bf.pdf
Traktor,Claas,Arion,,Elektroniske styresystemer,Varsellampe / feilkode,,"Referanse for injektor sylinder 6
  ugyldig","Sjekk: ENG (A15), injektor Y320-6","Motoren kan gå dårlig pga.
  feil kalibrering",Id7769h,,,,https://d1hu4133i4rt3z.cloudfront.net/attachments/827/827261-cc1405d22d844e86e0720e07fdf480bf.pdf
Traktor,Claas,Arion,,Elektroniske styresystemer,Varsellampe / feilkode,,"Åpen krets på elektronisk injektor
  sylinder 6","Sjekk: ENG (A15), injektor Y320-6","Motoren går dårlig, tenning
  på injektor 6 virker ikke",Id776Ah,,,,https://d1hu4133i4rt3z.cloudfront.net/attachments/827/827261-cc1405d22d844e86e0720e07fdf480bf.pdf
Traktor,Claas,Arion,,Elektroniske styresystemer,Varsellampe / feilkode,,"Kortslutning på elektronisk injektor
  sylinder 6","Sjekk: ENG (A15), injektor Y320-6","Motoren går dårlig, tenning
  på injektor 6 virker ikke",Id776Bh,,,,https://d1hu4133i4rt3z.cloudfront.net/attachments/827/827261-cc1405d22d844e86e0720e07fdf480bf.pdf
Traktor,Claas,Arion,,Elektroniske styresystemer,Varsellampe / feilkode,,"Mekanisk feil på elektronisk injektor
  sylinder 6","Sjekk: forsyningsrør, restriktor,
  injektor Y320-6, ENG (A15)","Motoren går dårlig, tenning
  på injektor 6 virker ikke",Id776Ch,,,,https://d1hu4133i4rt3z.cloudfront.net/attachments/827/827261-cc1405d22d844e86e0720e07fdf480bf.pdf
Traktor,Claas,Arion,,Elektroniske styresystemer,Varsellampe / feilkode,,"QR-kode ugyldig for elektronisk
  injektor sylinder 6","Sjekk: ENG (A15), injektor Y320-6","Motoren kan gå dårlig pga.
  feil kalibrering",Id776Dh,,,,https://d1hu4133i4rt3z.cloudfront.net/attachments/827/827261-cc1405d22d844e86e0720e07fdf480bf.pdf
Traktor,Claas,Arion,,Elektroniske styresystemer,Varsellampe / feilkode,,Motortemperatur for høy,Sjekk: ENG (A15),"Motorstyring reduserer
  turtall med 600 rpm og begrenser til 1200 rpm",Id776Eh,,,,https://d1hu4133i4rt3z.cloudfront.net/attachments/827/827261-cc1405d22d844e86e0720e07fdf480bf.pdf
Traktor,Claas,Arion,,Elektroniske styresystemer,Varsellampe / feilkode,,Motortemperatur middels høy,Sjekk: ENG (A15),"Motorstyring reduserer
  turtall med 600 rpm og begrenser til 1200 rpm",Id776Fh,,,,https://d1hu4133i4rt3z.cloudfront.net/attachments/827/827261-cc1405d22d844e86e0720e07fdf480bf.pdf
Traktor,Claas,Arion,,Elektroniske styresystemer,Varsellampe / feilkode,,"Høy spenning på luftinntak temp. sensor
  turbo","Sjekk: luftinntak temp. sensor (B1),
  ENG (A15)",Standardverdi 30°C brukes,Id7770h,,,,https://d1hu4133i4rt3z.cloudfront.net/attachments/827/827261-cc1405d22d844e86e0720e07fdf480bf.pdf
Traktor,Claas,Arion,,Elektroniske styresystemer,Varsellampe / feilkode,,"Lav spenning på luftinntak temp. sensor
  turbo","Sjekk: luftinntak temp. sensor (B1),
  ENG (A15)",Standardverdi 30°C brukes,Id7771h,,,,https://d1hu4133i4rt3z.cloudfront.net/attachments/827/827261-cc1405d22d844e86e0720e07fdf480bf.pdf
Traktor,Claas,Arion,,Elektroniske styresystemer,Varsellampe / feilkode,,Luftinntak temp. turbo for høy,"Sjekk: luftinntak temp. sensor (B1),
  luftfilter, motorvifte, trykkluftsystem","Motorstyring reduserer
  effekt med 20% per min til 50%",Id7772h,,,,https://d1hu4133i4rt3z.cloudfront.net/attachments/827/827261-cc1405d22d844e86e0720e07fdf480bf.pdf
Traktor,Claas,Arion,,Elektroniske styresystemer,Varsellampe / feilkode,,Luftinntak temp. turbo middels høy,"Sjekk: luftinntak temp. sensor (B1),
  luftfilter, motorvifte, trykkluftsystem","Motorstyring reduserer
  effekt til 95% (gjenoppretting 5% per min)",Id7773h,,,,https://d1hu4133i4rt3z.cloudfront.net/attachments/827/827261-cc1405d22d844e86e0720e07fdf480bf.pdf
Traktor,Claas,Arion,,Elektroniske styresystemer,Varsellampe / feilkode,,"Høy strøm på høytrykkspumpe
  magnetventil",Sjekk: magnetventil Y344,Motoren kan gå ujevnt,Id7774h,,,,https://d1hu4133i4rt3z.cloudfront.net/attachments/827/827261-cc1405d22d844e86e0720e07fdf480bf.pdf
Traktor,Claas,Arion,,Elektroniske styresystemer,Varsellampe / feilkode,,"Ulik strøm på høytrykkspumpe
  magnetventil",Sjekk: magnetventil Y344,"Motoren øker effekt
  midlertidig",Id7775h,,,,https://d1hu4133i4rt3z.cloudfront.net/attachments/827/827261-cc1405d22d844e86e0720e07fdf480bf.pdf
Traktor,Claas,Arion,,Elektroniske styresystemer,Varsellampe / feilkode,,Feil på drivstofftrykk i common rail,"Sjekk: rør, timing, trykksensor (B42),
  ENG (A15)","Motorstyring justerer
  pumpe, motor kan gå ujevnt",Id7776h,,,,https://d1hu4133i4rt3z.cloudfront.net/attachments/827/827261-cc1405d22d844e86e0720e07fdf480bf.pdf
Traktor,Claas,Arion,,Elektroniske styresystemer,Varsellampe / feilkode,,Reduksjon av drivstofftilførsel,Sjekk relaterte feilkoder,"Motorstyring reduserer
  tilførsel for å beskytte motoren",Id7777h,,,,https://d1hu4133i4rt3z.cloudfront.net/attachments/827/827261-cc1405d22d844e86e0720e07fdf480bf.pdf
Traktor,Claas,Arion,,Elektroniske styresystemer,Varsellampe / feilkode,,Friskluftinntak temp. for høy,"Sjekk: intercooler, friskluft temp.
  sensor (B222)","Motorstyring reduserer
  effekt med 20% per min til 40%",Id7778h,,,,https://d1hu4133i4rt3z.cloudfront.net/attachments/827/827261-cc1405d22d844e86e0720e07fdf480bf.pdf
Traktor,Claas,Arion,,Elektroniske styresystemer,Varsellampe / feilkode,,"Høy spenning på friskluftinntak temp.
  sensor","Sjekk: friskluft temp. sensor (B222),
  ENG (A15)","Standardverdi 50°C brukes,
  EGR-beskyttelse deaktivert",Id7779h,,,,https://d1hu4133i4rt3z.cloudfront.net/attachments/827/827261-cc1405d22d844e86e0720e07fdf480bf.pdf
